pair_mode,label,ref_row_id,cand_row_id,ref_cve,cand_cve,ref_cwe,cand_cwe,language,coverage,risk_score,kg_consistency_score,exact_cve_provenance,exact_commit_provenance,cwe_match,kg_ref_available,vscore_ref_available,risk_only,coverage_only,kg_consistency,coverage_plus_kg,qgdca_no_kg,qgdca_full
true_pair,1,24661,24661,CVE-2017-8825,CVE-2017-8825,CWE-476,CWE-476,C,1.0,0.7546120000000001,0.5499999999999999,True,True,True,True,True,0.7546120000000001,1.0,0.5499999999999999,0.865,0.9509224000000001,0.8506917999999999
same_cwe_different_cve,0,24661,30792,CVE-2017-8825,CVE-2017-18241,CWE-476,CWE-476,C,0.06060606060606061,0.7546120000000001,0.5499999999999999,False,False,True,True,True,0.7546120000000001,0.06060606060606061,0.5499999999999999,0.2074242424242424,-inf,-inf
cross_cwe_different_cve,0,24661,29998,CVE-2017-8825,CVE-2020-21674,CWE-476,CWE-787,C,0.09090909090909091,0.7546120000000001,0.2,False,False,False,True,True,0.7546120000000001,0.09090909090909091,0.2,0.12363636363636363,-inf,-inf
true_pair,1,28050,28050,CVE-2017-13058,CVE-2017-13058,CWE-772,CWE-772,C,1.0,0.675416,0.5499999999999999,True,True,True,True,True,0.675416,1.0,0.5499999999999999,0.865,0.9350832,0.8388123999999999
same_cwe_different_cve,0,28050,10177,CVE-2017-13058,CVE-2018-14437,CWE-772,CWE-772,C,0.1326530612244898,0.675416,0.5499999999999999,False,False,True,True,True,0.675416,0.1326530612244898,0.5499999999999999,0.25785714285714284,-inf,-inf
cross_cwe_different_cve,0,28050,28738,CVE-2017-13058,CVE-2015-3826,CWE-772,CWE-119,C,0.10204081632653061,0.675416,0.2,False,False,False,True,True,0.675416,0.10204081632653061,0.2,0.13142857142857142,-inf,-inf
true_pair,1,1153,1153,CVE-2022-0631,CVE-2022-0631,CWE-122,CWE-122,C,1.0,0.574844,0.9,True,True,True,True,True,0.574844,1.0,0.9,0.97,0.9149688,0.9112266
same_cwe_different_cve,0,1153,14605,CVE-2022-0631,CVE-2022-4141,CWE-122,CWE-122,C,0.1346153846153846,0.574844,0.9,False,False,True,True,True,0.574844,0.1346153846153846,0.9,0.36423076923076925,-inf,-inf
cross_cwe_different_cve,0,1153,22296,CVE-2022-0631,CVE-2021-40592,CWE-122,CWE-835,C,0.057692307692307696,0.574844,0.4,False,False,False,True,True,0.574844,0.057692307692307696,0.4,0.16038461538461538,-inf,-inf
true_pair,1,29039,29039,CVE-2009-0747,CVE-2009-0747,CWE-399,CWE-399,C,1.0,0.424864,0.5499999999999999,True,True,True,True,True,0.424864,1.0,0.5499999999999999,0.865,0.8849728000000001,0.8012295999999999
same_cwe_different_cve,0,29039,24158,CVE-2009-0747,CVE-2011-0991,CWE-399,CWE-399,C,0.1111111111111111,0.424864,0.5499999999999999,False,False,True,True,True,0.424864,0.1111111111111111,0.5499999999999999,0.24277777777777776,-inf,-inf
cross_cwe_different_cve,0,29039,18711,CVE-2009-0747,CVE-2020-8905,CWE-399,CWE-120,C,0.1111111111111111,0.424864,0.35,False,False,False,True,True,0.424864,0.1111111111111111,0.35,0.18277777777777776,-inf,-inf
true_pair,1,30543,30543,CVE-2021-31260,CVE-2021-31260,CWE-476,CWE-476,C,1.0,0.5464680000000001,0.5499999999999999,True,True,True,True,True,0.5464680000000001,1.0,0.5499999999999999,0.865,0.9092936,0.8194701999999999
same_cwe_different_cve,0,30543,16407,CVE-2021-31260,CVE-2022-2874,CWE-476,CWE-476,C,0.014925373134328358,0.5464680000000001,0.7,False,False,True,True,True,0.5464680000000001,0.014925373134328358,0.7,0.22044776119402984,-inf,-inf
cross_cwe_different_cve,0,30543,20895,CVE-2021-31260,CVE-2021-41073,CWE-476,CWE-763,C,0.022388059701492536,0.5464680000000001,0.2,False,False,False,True,True,0.5464680000000001,0.022388059701492536,0.2,0.07567164179104477,-inf,-inf
true_pair,1,25904,25904,CVE-2018-8789,CVE-2018-8789,CWE-125,CWE-125,C,1.0,0.815828,0.6499999999999999,True,True,True,True,True,0.815828,1.0,0.6499999999999999,0.8949999999999999,0.9631656000000001,0.8848741999999999
same_cwe_different_cve,0,25904,1514,CVE-2018-8789,CVE-2022-35938,CWE-125,CWE-125,C,0.1,0.815828,0.7999999999999999,False,False,True,True,True,0.815828,0.1,0.7999999999999999,0.30999999999999994,-inf,-inf
cross_cwe_different_cve,0,25904,19267,CVE-2018-8789,CVE-2014-9717,CWE-125,CWE-284,C,0.1,0.815828,0.30000000000000004,False,False,False,True,True,0.815828,0.1,0.30000000000000004,0.16,-inf,-inf
true_pair,1,4261,4261,CVE-2016-1685,CVE-2016-1685,CWE-119,CWE-119,C++,1.0,0.654908,0.5499999999999999,True,True,True,True,True,0.654908,1.0,0.5499999999999999,0.865,0.9309816000000001,0.8357361999999999
same_cwe_different_cve,0,4261,19044,CVE-2016-1685,CVE-2016-1646,CWE-119,CWE-119,C++,0.013888888888888888,0.654908,0.7,False,False,True,True,True,0.654908,0.013888888888888888,0.7,0.2197222222222222,-inf,-inf
cross_cwe_different_cve,0,4261,14565,CVE-2016-1685,CVE-2013-3722,CWE-119,CWE-835,C++,0.027777777777777776,0.654908,0.2,False,False,False,True,True,0.654908,0.027777777777777776,0.2,0.07944444444444444,-inf,-inf
true_pair,1,18948,18948,CVE-2023-38560,CVE-2023-38560,CWE-190,CWE-190,C,1.0,0.43378400000000006,0.9,True,True,True,True,True,0.43378400000000006,1.0,0.9,0.97,0.8867568000000001,0.8900676
same_cwe_different_cve,0,18948,19935,CVE-2023-38560,CVE-2019-10877,CWE-190,CWE-190,C,0.041666666666666664,0.43378400000000006,0.75,False,False,True,True,True,0.43378400000000006,0.041666666666666664,0.75,0.25416666666666665,-inf,-inf
cross_cwe_different_cve,0,18948,14566,CVE-2023-38560,CVE-2016-1000004,CWE-190,CWE-345,C,0.020833333333333332,0.43378400000000006,0.4,False,False,False,True,True,0.43378400000000006,0.020833333333333332,0.4,0.13458333333333333,-inf,-inf
true_pair,1,2268,2268,CVE-2017-15672,CVE-2017-15672,CWE-125,CWE-125,C,1.0,0.8406880000000001,0.5499999999999999,True,True,True,True,True,0.8406880000000001,1.0,0.5499999999999999,0.865,0.9681376,0.8636031999999999
same_cwe_different_cve,0,2268,7719,CVE-2017-15672,CVE-2016-6306,CWE-125,CWE-125,C,0.05,0.8406880000000001,0.5499999999999999,False,False,True,True,True,0.8406880000000001,0.05,0.5499999999999999,0.19999999999999998,-inf,-inf
cross_cwe_different_cve,0,2268,14801,CVE-2017-15672,CVE-2020-24266,CWE-125,CWE-787,C,0.05,0.8406880000000001,0.2,False,False,False,True,True,0.8406880000000001,0.05,0.2,0.095,-inf,-inf
true_pair,1,22835,22835,CVE-2016-7124,CVE-2016-7124,CWE-502,CWE-502,C,1.0,0.9743320000000001,0.6499999999999999,True,True,True,True,True,0.9743320000000001,1.0,0.6499999999999999,0.8949999999999999,0.9948664,0.9086498
same_cwe_different_cve,0,22835,26117,CVE-2016-7124,CVE-2023-32665,CWE-502,CWE-502,C,0.03125,0.9743320000000001,0.6499999999999999,False,False,True,True,True,0.9743320000000001,0.03125,0.6499999999999999,0.21687499999999998,-inf,-inf
cross_cwe_different_cve,0,22835,19496,CVE-2016-7124,CVE-2014-9746,CWE-502,CWE-20,C,0.03125,0.9743320000000001,0.30000000000000004,False,False,False,True,True,0.9743320000000001,0.03125,0.30000000000000004,0.111875,-inf,-inf
true_pair,1,15972,15972,CVE-2019-15161,CVE-2019-15161,CWE-131,CWE-131,C,0.9921875,0.6555280000000001,0.5499999999999999,True,True,True,True,True,0.6555280000000001,0.9921875,0.5499999999999999,0.8595312499999999,0.9248556000000001,0.8311417
same_cwe_different_cve,0,15972,26993,CVE-2019-15161,CVE-2022-41907,CWE-131,CWE-131,C,0.046875,0.6555280000000001,0.7,False,False,True,True,True,0.6555280000000001,0.046875,0.7,0.2428125,-inf,-inf
cross_cwe_different_cve,0,15972,16343,CVE-2019-15161,CVE-2022-0617,CWE-131,CWE-476,C,0.03125,0.6555280000000001,0.35,False,False,False,True,True,0.6555280000000001,0.03125,0.35,0.126875,-inf,-inf
true_pair,1,10898,10898,CVE-2023-32636,CVE-2023-32636,CWE-787,CWE-787,C,1.0,0.485588,0.5499999999999999,True,True,True,True,True,0.485588,1.0,0.5499999999999999,0.865,0.8971176000000001,0.8103381999999999
same_cwe_different_cve,0,10898,24783,CVE-2023-32636,CVE-2017-9431,CWE-787,CWE-787,C,0.02127659574468085,0.485588,0.5499999999999999,False,False,True,True,True,0.485588,0.02127659574468085,0.5499999999999999,0.17989361702127657,-inf,-inf
cross_cwe_different_cve,0,10898,1006,CVE-2023-32636,CVE-2021-45429,CWE-787,CWE-120,C,0.031914893617021274,0.485588,0.2,False,False,False,True,True,0.485588,0.031914893617021274,0.2,0.0823404255319149,-inf,-inf
true_pair,1,24875,24875,CVE-2017-9990,CVE-2017-9990,CWE-119,CWE-119,C,1.0,0.8604800000000001,0.5499999999999999,True,True,True,True,True,0.8604800000000001,1.0,0.5499999999999999,0.865,0.9720960000000001,0.8665719999999999
same_cwe_different_cve,0,24875,18562,CVE-2017-9990,CVE-2014-0749,CWE-119,CWE-119,C,0.1111111111111111,0.8604800000000001,0.5499999999999999,False,False,True,True,True,0.8604800000000001,0.1111111111111111,0.5499999999999999,0.24277777777777776,-inf,-inf
cross_cwe_different_cve,0,24875,25115,CVE-2017-9990,CVE-2019-19807,CWE-119,CWE-416,C,0.1111111111111111,0.8604800000000001,0.2,False,False,False,True,True,0.8604800000000001,0.1111111111111111,0.2,0.13777777777777778,-inf,-inf
true_pair,1,25801,25801,CVE-2018-16842,CVE-2018-16842,CWE-125,CWE-125,C,1.0,0.5811360000000001,0.9,True,True,True,True,True,0.5811360000000001,1.0,0.9,0.97,0.9162272,0.9121703999999999
same_cwe_different_cve,0,25801,20713,CVE-2018-16842,CVE-2021-37620,CWE-125,CWE-125,C,0.058823529411764705,0.5811360000000001,0.9,False,False,True,True,True,0.5811360000000001,0.058823529411764705,0.9,0.31117647058823533,-inf,-inf
cross_cwe_different_cve,0,25801,19025,CVE-2018-16842,CVE-2016-0824,CWE-125,CWE-254,C,0.029411764705882353,0.5811360000000001,0.4,False,False,False,True,True,0.5811360000000001,0.029411764705882353,0.4,0.14058823529411765,-inf,-inf
true_pair,1,11661,11661,CVE-2021-34693,CVE-2021-34693,CWE-909,CWE-909,C,1.0,0.478228,0.5499999999999999,True,True,True,True,True,0.478228,1.0,0.5499999999999999,0.865,0.8956456,0.8092341999999999
same_cwe_different_cve,0,11661,11324,CVE-2021-34693,CVE-2021-28167,CWE-909,CWE-909,C,0.06896551724137931,0.478228,0.7,False,False,True,True,True,0.478228,0.06896551724137931,0.7,0.2582758620689655,-inf,-inf
cross_cwe_different_cve,0,11661,20351,CVE-2021-34693,CVE-2015-1278,CWE-909,CWE-254,C,0.034482758620689655,0.478228,0.2,False,False,False,True,True,0.478228,0.034482758620689655,0.2,0.08413793103448275,-inf,-inf
true_pair,1,13260,13260,CVE-2022-0128,CVE-2022-0128,CWE-125,CWE-125,C,0.9937888198757764,0.7250639999999999,0.9,True,True,True,True,True,0.7250639999999999,0.9937888198757764,0.9,0.9656521739130435,0.9400438559006212,0.9300328919254658
same_cwe_different_cve,0,13260,24535,CVE-2022-0128,CVE-2016-7537,CWE-125,CWE-125,C,0.055900621118012424,0.7250639999999999,0.75,False,False,True,True,True,0.7250639999999999,0.055900621118012424,0.75,0.26413043478260867,-inf,-inf
cross_cwe_different_cve,0,13260,21633,CVE-2022-0128,CVE-2023-25149,CWE-125,CWE-269,C,0.049689440993788817,0.7250639999999999,0.4,False,False,False,True,True,0.7250639999999999,0.049689440993788817,0.4,0.15478260869565216,-inf,-inf
true_pair,1,26180,26180,CVE-2023-44487,CVE-2023-44487,CWE-400,CWE-400,C++,1.0,0.999984,1.0,True,True,True,True,True,0.999984,1.0,1.0,1.0,0.9999968,0.9999975999999999
same_cwe_different_cve,0,26180,12705,CVE-2023-44487,CVE-2017-11530,CWE-400,CWE-400,C++,0.017241379310344827,0.999984,0.85,False,False,True,True,True,0.999984,0.017241379310344827,0.85,0.2670689655172414,-inf,-inf
cross_cwe_different_cve,0,26180,1244,CVE-2023-44487,CVE-2021-3798,CWE-400,CWE-200,C++,0.017241379310344827,0.999984,0.6499999999999999,False,False,False,True,True,0.999984,0.017241379310344827,0.6499999999999999,0.20706896551724135,-inf,-inf
true_pair,1,27132,27132,CVE-2023-26768,CVE-2023-26768,CWE-120,CWE-120,C,1.0,0.720952,0.9,True,True,True,True,True,0.720952,1.0,0.9,0.97,0.9441904000000001,0.9331427999999999
same_cwe_different_cve,0,27132,13854,CVE-2023-26768,CVE-2009-1186,CWE-120,CWE-120,C,0.06666666666666667,0.720952,0.75,False,False,True,True,True,0.720952,0.06666666666666667,0.75,0.2716666666666666,-inf,-inf
cross_cwe_different_cve,0,27132,5107,CVE-2023-26768,CVE-2015-1267,CWE-120,CWE-254,C,0.06666666666666667,0.720952,0.4,False,False,False,True,True,0.720952,0.06666666666666667,0.4,0.16666666666666666,-inf,-inf
true_pair,1,11863,11863,CVE-2023-23003,CVE-2023-23003,CWE-252,CWE-252,C,1.0,0.31213599999999997,0.9,True,True,True,True,True,0.31213599999999997,1.0,0.9,0.97,0.8624272000000001,0.8718203999999999
same_cwe_different_cve,0,11863,25609,CVE-2023-23003,CVE-2018-16643,CWE-252,CWE-252,C,0.18181818181818182,0.31213599999999997,0.75,False,False,True,True,True,0.31213599999999997,0.18181818181818182,0.75,0.35227272727272724,-inf,-inf
cross_cwe_different_cve,0,11863,9901,CVE-2023-23003,CVE-2019-19767,CWE-252,CWE-416,C,0.09090909090909091,0.31213599999999997,0.4,False,False,False,True,True,0.31213599999999997,0.09090909090909091,0.4,0.18363636363636363,-inf,-inf
true_pair,1,31058,31058,CVE-2018-12435,CVE-2018-12435,CWE-200,CWE-200,C++,1.0,0.508908,0.5499999999999999,True,True,True,True,True,0.508908,1.0,0.5499999999999999,0.865,0.9017816000000001,0.8138361999999999
same_cwe_different_cve,0,31058,30901,CVE-2018-12435,CVE-2018-10583,CWE-200,CWE-200,C++,0.1,0.508908,0.5499999999999999,False,False,True,True,True,0.508908,0.1,0.5499999999999999,0.235,-inf,-inf
cross_cwe_different_cve,0,31058,26535,CVE-2018-12435,CVE-2021-23133,CWE-200,CWE-362,C++,0.03333333333333333,0.508908,0.35,False,False,False,True,True,0.508908,0.03333333333333333,0.35,0.12833333333333333,-inf,-inf
true_pair,1,5815,5815,CVE-2017-16612,CVE-2017-16612,CWE-190,CWE-190,C,1.0,0.815468,0.6499999999999999,True,True,True,True,True,0.815468,1.0,0.6499999999999999,0.8949999999999999,0.9630936000000001,0.8848202
same_cwe_different_cve,0,5815,7666,CVE-2017-16612,CVE-2015-8931,CWE-190,CWE-190,C,0.16666666666666666,0.815468,0.6499999999999999,False,False,True,True,True,0.815468,0.16666666666666666,0.6499999999999999,0.31166666666666665,-inf,-inf
cross_cwe_different_cve,0,5815,12369,CVE-2017-16612,CVE-2023-2952,CWE-190,CWE-835,C,0.08333333333333333,0.815468,0.44999999999999996,False,False,False,True,True,0.815468,0.08333333333333333,0.44999999999999996,0.1933333333333333,-inf,-inf
true_pair,1,5319,5319,CVE-2021-36144,CVE-2021-36144,CWE-416,CWE-416,C,1.0,0.677588,0.5499999999999999,True,True,True,True,True,0.677588,1.0,0.5499999999999999,0.865,0.9355176000000001,0.8391382
same_cwe_different_cve,0,5319,7650,CVE-2021-36144,CVE-2016-7413,CWE-416,CWE-416,C,0.05263157894736842,0.677588,0.5499999999999999,False,False,True,True,True,0.677588,0.05263157894736842,0.5499999999999999,0.20184210526315788,-inf,-inf
cross_cwe_different_cve,0,5319,7321,CVE-2021-36144,CVE-2016-6297,CWE-416,CWE-119,C,0.05263157894736842,0.677588,0.2,False,False,False,True,True,0.677588,0.05263157894736842,0.2,0.0968421052631579,-inf,-inf
true_pair,1,13249,13249,CVE-2021-41141,CVE-2021-41141,CWE-667,CWE-667,C++,1.0,0.6270640000000001,0.9,True,True,True,True,True,0.6270640000000001,1.0,0.9,0.97,0.9254128,0.9190596
same_cwe_different_cve,0,13249,13617,CVE-2021-41141,CVE-2006-2275,CWE-667,CWE-667,C++,0.031746031746031744,0.6270640000000001,0.75,False,False,True,True,True,0.6270640000000001,0.031746031746031744,0.75,0.2472222222222222,-inf,-inf
cross_cwe_different_cve,0,13249,14659,CVE-2021-41141,CVE-2023-35847,CWE-667,CWE-908,C++,0.015873015873015872,0.6270640000000001,0.4,False,False,False,True,True,0.6270640000000001,0.015873015873015872,0.4,0.1311111111111111,-inf,-inf
true_pair,1,6734,6734,CVE-2021-4202,CVE-2021-4202,CWE-362,CWE-362,C,1.0,0.529488,0.9,True,True,True,True,True,0.529488,1.0,0.9,0.97,0.9058976000000001,0.9044232
same_cwe_different_cve,0,6734,14707,CVE-2021-4202,CVE-2020-25599,CWE-362,CWE-362,C,0.10526315789473684,0.529488,0.75,False,False,True,True,True,0.529488,0.10526315789473684,0.75,0.2986842105263158,-inf,-inf
cross_cwe_different_cve,0,6734,9907,CVE-2021-4202,CVE-2019-16778,CWE-362,CWE-681,C,0.05263157894736842,0.529488,0.4,False,False,False,True,True,0.529488,0.05263157894736842,0.4,0.1568421052631579,-inf,-inf
true_pair,1,8392,8392,CVE-2016-1618,CVE-2016-1618,CWE-310,CWE-310,C++,1.0,0.660544,0.5499999999999999,True,True,True,True,True,0.660544,1.0,0.5499999999999999,0.865,0.9321088000000001,0.8365815999999999
same_cwe_different_cve,0,8392,23862,CVE-2016-1618,CVE-2014-8275,CWE-310,CWE-310,C++,0.16666666666666666,0.660544,0.5499999999999999,False,False,True,True,True,0.660544,0.16666666666666666,0.5499999999999999,0.2816666666666666,-inf,-inf
cross_cwe_different_cve,0,8392,22422,CVE-2016-1618,CVE-2016-2506,CWE-310,CWE-119,C++,0.6666666666666666,0.660544,0.2,False,False,False,True,True,0.660544,0.6666666666666666,0.2,0.5266666666666666,-inf,-inf
true_pair,1,29003,29003,CVE-2008-3833,CVE-2008-3833,CWE-264,CWE-264,C,1.0,0.42732800000000004,0.5499999999999999,True,True,True,True,True,0.42732800000000004,1.0,0.5499999999999999,0.865,0.8854656000000001,0.8015992
same_cwe_different_cve,0,29003,31597,CVE-2008-3833,CVE-2012-1179,CWE-264,CWE-264,C,0.0625,0.42732800000000004,0.5499999999999999,False,False,True,True,True,0.42732800000000004,0.0625,0.5499999999999999,0.20875,-inf,-inf
cross_cwe_different_cve,0,29003,11874,CVE-2008-3833,CVE-2015-10088,CWE-264,CWE-134,C,0.0625,0.42732800000000004,0.35,False,False,False,True,True,0.42732800000000004,0.0625,0.35,0.14875,-inf,-inf
true_pair,1,28612,28612,CVE-2021-4001,CVE-2021-4001,CWE-367,CWE-367,C,1.0,0.31522000000000006,0.9,True,True,True,True,True,0.31522000000000006,1.0,0.9,0.97,0.863044,0.8722829999999999
same_cwe_different_cve,0,28612,16592,CVE-2021-4001,CVE-2022-1974,CWE-367,CWE-367,C,0.061224489795918366,0.31522000000000006,0.75,False,False,True,True,True,0.31522000000000006,0.061224489795918366,0.75,0.26785714285714285,-inf,-inf
cross_cwe_different_cve,0,28612,23529,CVE-2021-4001,CVE-2015-8725,CWE-367,CWE-20,C,0.04081632653061224,0.31522000000000006,0.4,False,False,False,True,True,0.31522000000000006,0.04081632653061224,0.4,0.14857142857142858,-inf,-inf
true_pair,1,2515,2515,CVE-2012-6696,CVE-2012-6696,CWE-20,CWE-20,C++,1.0,0.8800920000000001,0.5499999999999999,True,True,True,True,True,0.8800920000000001,1.0,0.5499999999999999,0.865,0.9760184000000001,0.8695138
same_cwe_different_cve,0,2515,8302,CVE-2012-6696,CVE-2015-8711,CWE-20,CWE-20,C++,0.018018018018018018,0.8800920000000001,0.5499999999999999,False,False,True,True,True,0.8800920000000001,0.018018018018018018,0.5499999999999999,0.1776126126126126,-inf,-inf
cross_cwe_different_cve,0,2515,17747,CVE-2012-6696,CVE-2017-14974,CWE-20,CWE-476,C++,0.0990990990990991,0.8800920000000001,0.2,False,False,False,True,True,0.8800920000000001,0.0990990990990991,0.2,0.12936936936936938,-inf,-inf
true_pair,1,29061,29061,CVE-2009-1185,CVE-2009-1185,CWE-346,CWE-346,C,0.8275862068965517,0.830376,0.6499999999999999,True,True,True,True,True,0.830376,0.8275862068965517,0.6499999999999999,0.7743103448275861,0.8281441655172413,0.783608124137931
same_cwe_different_cve,0,29061,24638,CVE-2009-1185,CVE-2017-6519,CWE-346,CWE-346,C,0.13793103448275862,0.830376,0.7999999999999999,False,False,True,True,True,0.830376,0.13793103448275862,0.7999999999999999,0.336551724137931,-inf,-inf
cross_cwe_different_cve,0,29061,14956,CVE-2009-1185,CVE-2020-26420,CWE-346,CWE-401,C,0.06896551724137931,0.830376,0.30000000000000004,False,False,False,True,True,0.830376,0.06896551724137931,0.30000000000000004,0.13827586206896553,-inf,-inf
true_pair,1,8921,8921,CVE-2011-0712,CVE-2011-0712,CWE-120,CWE-120,C,0.9615384615384616,0.570296,0.5499999999999999,True,True,True,True,True,0.570296,0.9615384615384616,0.5499999999999999,0.8380769230769229,0.8832899692307693,0.7999674769230768
same_cwe_different_cve,0,8921,21416,CVE-2011-0712,CVE-2022-47087,CWE-120,CWE-120,C,0.038461538461538464,0.570296,0.7,False,False,True,True,True,0.570296,0.038461538461538464,0.7,0.2369230769230769,-inf,-inf
cross_cwe_different_cve,0,8921,27690,CVE-2011-0712,CVE-2019-18885,CWE-120,CWE-476,C,0.11538461538461539,0.570296,0.2,False,False,False,True,True,0.570296,0.11538461538461539,0.2,0.14076923076923076,-inf,-inf
true_pair,1,21701,21701,CVE-2022-23608,CVE-2022-23608,CWE-416,CWE-416,C,1.0,0.842392,0.9,True,True,True,True,True,0.842392,1.0,0.9,0.97,0.9684784000000001,0.9513588
same_cwe_different_cve,0,21701,12981,CVE-2022-23608,CVE-2021-43057,CWE-416,CWE-416,C,0.019230769230769232,0.842392,0.75,False,False,True,True,True,0.842392,0.019230769230769232,0.75,0.23846153846153845,-inf,-inf
cross_cwe_different_cve,0,21701,23527,CVE-2022-23608,CVE-2015-8724,CWE-416,CWE-20,C,0.038461538461538464,0.842392,0.4,False,False,False,True,True,0.842392,0.038461538461538464,0.4,0.14692307692307693,-inf,-inf
true_pair,1,27744,27744,CVE-2019-19080,CVE-2019-19080,CWE-401,CWE-401,C,1.0,0.764784,0.5499999999999999,True,True,True,True,True,0.764784,1.0,0.5499999999999999,0.865,0.9529568,0.8522175999999999
same_cwe_different_cve,0,27744,27751,CVE-2019-19080,CVE-2019-19083,CWE-401,CWE-401,C,0.04716981132075472,0.764784,0.5499999999999999,False,False,True,True,True,0.764784,0.04716981132075472,0.5499999999999999,0.19801886792452827,-inf,-inf
cross_cwe_different_cve,0,27744,7742,CVE-2019-19080,CVE-2016-1246,CWE-401,CWE-119,C,0.018867924528301886,0.764784,0.2,False,False,False,True,True,0.764784,0.018867924528301886,0.2,0.07320754716981132,-inf,-inf
true_pair,1,14327,14327,CVE-2023-52138,CVE-2023-52138,CWE-59,CWE-59,C,1.0,0.785852,0.5499999999999999,True,True,True,True,True,0.785852,1.0,0.5499999999999999,0.865,0.9571704000000001,0.8553778
same_cwe_different_cve,0,14327,16448,CVE-2023-52138,CVE-2021-31566,CWE-59,CWE-59,C,0.07692307692307693,0.785852,0.7,False,False,True,True,True,0.785852,0.07692307692307693,0.7,0.26384615384615384,-inf,-inf
cross_cwe_different_cve,0,14327,28037,CVE-2023-52138,CVE-2014-0146,CWE-59,CWE-476,C,0.07692307692307693,0.785852,0.2,False,False,False,True,True,0.785852,0.07692307692307693,0.2,0.11384615384615385,-inf,-inf
true_pair,1,11206,11206,CVE-2016-8688,CVE-2016-8688,CWE-125,CWE-125,C,1.0,0.641796,0.5499999999999999,True,True,True,True,True,0.641796,1.0,0.5499999999999999,0.865,0.9283592,0.8337694
same_cwe_different_cve,0,11206,18902,CVE-2016-8688,CVE-2021-34121,CWE-125,CWE-125,C,0.05714285714285714,0.641796,0.5499999999999999,False,False,True,True,True,0.641796,0.05714285714285714,0.5499999999999999,0.20499999999999996,-inf,-inf
cross_cwe_different_cve,0,11206,14572,CVE-2016-8688,CVE-2011-4915,CWE-125,CWE-200,C,0.05714285714285714,0.641796,0.2,False,False,False,True,True,0.641796,0.05714285714285714,0.2,0.09999999999999999,-inf,-inf
true_pair,1,3630,3630,CVE-2023-3389,CVE-2023-3389,CWE-416,CWE-416,C,1.0,0.66578,0.9,True,True,True,True,True,0.66578,1.0,0.9,0.97,0.9331560000000001,0.924867
