idx,cve_id,cwe_id,project,lang,score,ref_category,candidate_categories,token_coverage,structural_only_gate,category_gate,strict_mddc_gate
18,CVE-2012-3511,CWE-362,linux,C,6.2,resource_dos,memory_safety;resource_dos;ssrf_redirect,0.32,True,True,True
19,CVE-2012-3510,CWE-399,linux,C,5.6,command_injection,memory_safety;resource_dos,0.23076923076923078,True,False,False
20,CVE-2012-3430,CWE-200,linux,C,2.1,auth_access,memory_safety;path_traversal;resource_dos,0.3103448275862069,True,False,False
21,CVE-2012-3412,CWE-189,linux,C,7.8,memory_safety,command_injection;path_traversal;resource_dos;ssrf_redirect;xss,0.35714285714285715,True,False,False
22,CVE-2012-3400,CWE-119,linux,C,7.6,memory_safety,auth_access;command_injection;memory_safety;resource_dos;xss,0.23076923076923078,True,True,True
23,CVE-2012-3375,,linux,C,4.9,xss,resource_dos;ssrf_redirect,0.24324324324324326,True,False,False
24,CVE-2012-2745,CWE-119,linux,C,4.7,memory_safety,auth_access;crypto_secret;memory_safety,0.20689655172413793,True,True,True
25,CVE-2012-2744,,linux,C,7.8,resource_dos,memory_safety,0.2962962962962963,True,False,False
26,CVE-2012-2675,CWE-189,nedmalloc,C,4.3,memory_safety,memory_safety;resource_dos,0.125,True,True,True
27,CVE-2012-2673,CWE-189,bdwgc,C,5.0,memory_safety,memory_safety;resource_dos;ssrf_redirect,0.16666666666666666,True,True,True
28,CVE-2012-2669,CWE-20,linux,C,2.1,other,memory_safety;resource_dos;ssrf_redirect,0.34782608695652173,True,False,False
29,CVE-2012-2390,CWE-399,linux,C,4.9,resource_dos,memory_safety;path_traversal;resource_dos;ssrf_redirect,0.2,True,True,True
30,CVE-2012-2385,CWE-399,mosh,C++,4.0,xss,command_injection;path_traversal;resource_dos;ssrf_redirect;xss,0.2727272727272727,True,True,True
31,CVE-2012-2384,CWE-189,linux,C,4.9,memory_safety,auth_access;command_injection;deserialization;memory_safety;resource_dos,0.4,True,True,True
32,CVE-2012-2383,CWE-189,linux,C,4.9,memory_safety,auth_access;command_injection;deserialization;memory_safety;resource_dos,0.4,True,True,True
33,CVE-2012-2375,CWE-189,linux,C,4.6,memory_safety,memory_safety;resource_dos,0.16666666666666666,True,True,True
34,CVE-2012-2373,CWE-362,linux,C,4.0,path_traversal,command_injection;memory_safety;path_traversal;ssrf_redirect,0.3125,True,True,True
35,CVE-2012-2319,CWE-264,linux,C,7.2,auth_access,memory_safety;path_traversal;resource_dos;ssrf_redirect,0.38095238095238093,True,False,False
36,CVE-2012-2313,CWE-264,linux,C,1.2,command_injection,auth_access;command_injection;crypto_secret;memory_safety;path_traversal;resource_dos;ssrf_redirect;xss,0.5,True,True,True
37,CVE-2012-2136,CWE-20,linux,C,7.2,auth_access,memory_safety;resource_dos,0.1388888888888889,True,False,False
38,CVE-2012-2133,CWE-399,linux,C,4.0,auth_access,memory_safety;path_traversal;resource_dos;ssrf_redirect,0.34375,True,False,False
39,CVE-2012-2127,CWE-119,linux,C,5.0,memory_safety,memory_safety,0.16216216216216217,True,True,True
40,CVE-2012-2123,CWE-264,linux,C,7.2,command_injection,auth_access;path_traversal;ssrf_redirect,0.2647058823529412,True,False,False
41,CVE-2012-2121,CWE-264,linux,C,4.9,auth_access,memory_safety;path_traversal;resource_dos;ssrf_redirect,0.22580645161290322,True,False,False
42,CVE-2012-2100,CWE-189,linux,C,7.1,memory_safety,memory_safety;resource_dos,0.2619047619047619,True,True,True
43,CVE-2012-1910,,bitcoin,C++,7.5,command_injection,command_injection;path_traversal;sql_injection;ssrf_redirect;xss;xxe,0.10714285714285714,True,True,True
44,CVE-2012-1836,CWE-119,inspircd,C++,7.5,memory_safety,memory_safety;resource_dos;sql_injection;ssrf_redirect,0.21052631578947367,True,True,True
45,CVE-2012-1601,CWE-399,linux,C,4.9,resource_dos,memory_safety;path_traversal;ssrf_redirect,0.2608695652173913,True,False,False
46,CVE-2012-1584,CWE-189,taglib,C++,4.3,memory_safety,memory_safety;resource_dos,0.20689655172413793,True,True,True
47,CVE-2012-1583,CWE-399,linux,C,5.0,resource_dos,,0.21739130434782608,True,False,False
48,CVE-2012-1571,CWE-119,file,C,4.3,memory_safety,memory_safety;resource_dos,0.18181818181818182,True,True,True
49,CVE-2012-1179,CWE-264,linux,C,5.2,auth_access,memory_safety;path_traversal;resource_dos;ssrf_redirect,0.375,True,False,False
50,CVE-2012-1176,CWE-119,pyfribidi,C,5.0,memory_safety,crypto_secret;deserialization;memory_safety;path_traversal;resource_dos;ssrf_redirect;xss,0.3888888888888889,True,True,True
51,CVE-2012-1146,,linux,C,10.0,resource_dos,memory_safety,0.3939393939393939,True,False,False
52,CVE-2012-1108,CWE-20,taglib,C++,4.3,resource_dos,crypto_secret;memory_safety;resource_dos,0.3157894736842105,True,True,True
53,CVE-2012-1107,,taglib,C++,4.3,resource_dos,memory_safety,0.28,True,False,False
54,CVE-2012-1097,,linux,C,7.2,resource_dos,auth_access;memory_safety;path_traversal;resource_dos;ssrf_redirect,0.2727272727272727,True,True,True
55,CVE-2012-1090,CWE-264,linux,C,4.9,auth_access,path_traversal;sql_injection,0.3,True,False,False
56,CVE-2012-1013,,krb5,C,4.0,auth_access,auth_access;crypto_secret;memory_safety;ssrf_redirect,0.5,True,True,True
57,CVE-2012-0957,CWE-16,linux,C,4.9,resource_dos,command_injection;memory_safety;resource_dos;ssrf_redirect,0.5714285714285714,True,True,True
58,CVE-2012-0879,CWE-20,linux,C,4.9,resource_dos,,0.08333333333333333,True,False,False
59,CVE-2012-0863,CWE-310,mumble,C++,2.1,sql_injection,auth_access;command_injection;crypto_secret;memory_safety;path_traversal;sql_injection;ssrf_redirect,0.14285714285714285,True,True,True
60,CVE-2012-0807,CWE-119,suhosin,C,5.1,memory_safety,crypto_secret;memory_safety;path_traversal;resource_dos;ssrf_redirect;xss,0.41935483870967744,True,True,True
61,CVE-2012-0207,CWE-399,linux,C,7.8,sql_injection,resource_dos;sql_injection;ssrf_redirect,0.25,True,True,True
62,CVE-2012-0058,CWE-399,linux,C,4.9,resource_dos,memory_safety;ssrf_redirect,0.2631578947368421,True,False,False
63,CVE-2012-0045,,linux,C,4.7,resource_dos,auth_access;command_injection;memory_safety;path_traversal;ssrf_redirect,0.4666666666666667,True,False,False
64,CVE-2012-0044,CWE-189,linux,C,7.2,memory_safety,memory_safety;path_traversal;resource_dos;ssrf_redirect,0.375,True,True,True
65,CVE-2012-0038,CWE-189,linux,C,4.9,memory_safety,memory_safety;resource_dos,0.16666666666666666,True,True,True
66,CVE-2012-0037,CWE-200,raptor,C,4.3,auth_access,crypto_secret;memory_safety;path_traversal;ssrf_redirect;xss;xxe,0.17857142857142858,True,False,False
67,CVE-2012-0036,CWE-89,curl,C,7.5,sql_injection,auth_access;memory_safety;path_traversal;resource_dos;ssrf_redirect;xss,0.2857142857142857,True,False,False
68,CVE-2012-0028,CWE-264,linux,C,7.2,command_injection,command_injection;memory_safety;path_traversal;resource_dos;ssrf_redirect,0.1,True,True,True
69,CVE-2011-4914,CWE-20,linux,C,6.4,resource_dos,command_injection;memory_safety;path_traversal;resource_dos;ssrf_redirect;xss,0.17647058823529413,True,True,True
70,CVE-2011-4913,CWE-20,linux,C,7.8,resource_dos,memory_safety;resource_dos;ssrf_redirect,0.38095238095238093,True,True,True
71,CVE-2011-4621,,linux,C,4.9,command_injection,memory_safety;path_traversal;ssrf_redirect,0.25,True,False,False
72,CVE-2011-4611,CWE-189,linux,C,4.9,memory_safety,memory_safety;path_traversal;resource_dos;ssrf_redirect,0.4074074074074074,True,True,True
73,CVE-2011-4594,,linux,C,4.9,resource_dos,auth_access;memory_safety;path_traversal,0.25,True,False,False
74,CVE-2011-4326,CWE-399,linux,C,7.1,resource_dos,,0.2857142857142857,True,False,False
75,CVE-2011-4324,,linux,C,4.9,path_traversal,memory_safety;path_traversal;resource_dos;ssrf_redirect,0.13636363636363635,True,True,True
76,CVE-2011-4131,CWE-189,linux,C,4.6,memory_safety,memory_safety;path_traversal;resource_dos;sql_injection;ssrf_redirect;xss,0.2,True,True,True
77,CVE-2011-4127,CWE-264,linux,C,4.6,command_injection,crypto_secret;memory_safety;path_traversal;resource_dos;ssrf_redirect,0.14814814814814814,True,False,False
78,CVE-2011-4112,CWE-264,linux,C,4.9,auth_access,memory_safety;path_traversal;ssrf_redirect,0.17647058823529413,True,False,False
79,CVE-2011-4097,CWE-189,linux,C,4.9,memory_safety,memory_safety;resource_dos,0.2916666666666667,True,True,True
80,CVE-2011-4086,CWE-119,linux,C,4.9,memory_safety,memory_safety;ssrf_redirect,0.3548387096774194,True,True,True
81,CVE-2011-4081,,linux,C,4.9,resource_dos,auth_access;crypto_secret;memory_safety;resource_dos,0.5,True,True,True
82,CVE-2011-4080,CWE-264,linux,C,4.0,auth_access,auth_access;memory_safety;path_traversal;resource_dos;ssrf_redirect,0.4375,True,True,True
83,CVE-2011-3637,CWE-20,linux,C,4.9,resource_dos,auth_access;memory_safety,0.3684210526315789,True,False,False
84,CVE-2011-3363,CWE-20,linux,C,5.4,resource_dos,auth_access;memory_safety;path_traversal,0.36,True,False,False
85,CVE-2011-3359,CWE-119,linux,C,5.4,memory_safety,command_injection;memory_safety;path_traversal;resource_dos;ssrf_redirect;xss,0.42857142857142855,True,True,True
86,CVE-2011-3353,CWE-119,linux,C,4.9,memory_safety,memory_safety;resource_dos,0.18181818181818182,True,True,True
87,CVE-2011-3209,CWE-189,linux,C,4.9,memory_safety,auth_access;command_injection;memory_safety;path_traversal;ssrf_redirect,0.375,True,True,True
88,CVE-2011-3191,CWE-189,linux,C,10.0,memory_safety,memory_safety;path_traversal;resource_dos,0.28125,True,True,True
89,CVE-2011-3188,,linux,C,6.8,auth_access,crypto_secret;memory_safety;path_traversal;resource_dos;ssrf_redirect,0.3235294117647059,True,False,False
90,CVE-2011-2918,CWE-399,linux,C,4.9,resource_dos,memory_safety;path_traversal;ssrf_redirect,0.23076923076923078,True,False,False
91,CVE-2011-2906,CWE-189,linux,C,4.9,memory_safety,memory_safety;path_traversal;resource_dos;ssrf_redirect,0.275,True,True,True
92,CVE-2011-2898,CWE-264,linux,C,4.9,auth_access,path_traversal;resource_dos;ssrf_redirect,0.23333333333333334,True,False,False
93,CVE-2011-2707,CWE-20,linux,C,4.9,resource_dos,auth_access;memory_safety;resource_dos;ssrf_redirect,0.2692307692307692,True,True,True
94,CVE-2011-2699,,linux,C,7.8,resource_dos,auth_access;crypto_secret;path_traversal;resource_dos;ssrf_redirect,0.21428571428571427,True,True,True
95,CVE-2011-2521,CWE-189,linux,C,4.9,memory_safety,resource_dos,0.2857142857142857,True,False,False
96,CVE-2011-2518,CWE-20,linux,C,4.9,path_traversal,auth_access;memory_safety;path_traversal;ssrf_redirect,0.25806451612903225,True,True,True
97,CVE-2011-2517,CWE-119,linux,C,7.2,memory_safety,memory_safety;resource_dos;ssrf_redirect,0.4166666666666667,True,True,True
98,CVE-2011-2496,CWE-189,linux,C,4.9,memory_safety,memory_safety;path_traversal;resource_dos,0.43478260869565216,True,True,True
99,CVE-2011-2495,CWE-264,linux,C,2.1,auth_access,auth_access;command_injection;crypto_secret;memory_safety;xss,0.3181818181818182,True,True,True
100,CVE-2011-2494,CWE-200,linux,C,2.1,auth_access,auth_access,0.2,True,True,True
101,CVE-2011-2493,,linux,C,2.1,resource_dos,memory_safety;path_traversal;resource_dos;ssrf_redirect,0.37037037037037035,True,True,True
102,CVE-2011-2486,CWE-264,nspluginwrapper,C,5.0,auth_access,auth_access;command_injection;crypto_secret;deserialization;memory_safety;path_traversal;resource_dos;ssrf_redirect;xss,0.13793103448275862,True,True,True
103,CVE-2011-2211,CWE-264,linux,C,7.2,auth_access,auth_access;command_injection;memory_safety;resource_dos;ssrf_redirect,0.4782608695652174,True,True,True
104,CVE-2011-2183,CWE-362,linux,C,4.0,resource_dos,command_injection;memory_safety;resource_dos;ssrf_redirect,0.21428571428571427,True,True,True
105,CVE-2011-2182,CWE-119,linux,C,7.2,memory_safety,memory_safety;resource_dos;ssrf_redirect,0.3076923076923077,True,True,True
106,CVE-2011-1927,,linux,C,5.0,resource_dos,command_injection;memory_safety;path_traversal;resource_dos;ssrf_redirect;xss,0.25925925925925924,True,True,True
107,CVE-2011-1833,CWE-264,linux,C,3.3,auth_access,auth_access;crypto_secret;memory_safety;path_traversal;resource_dos;ssrf_redirect,0.45,True,True,True
108,CVE-2011-1768,CWE-362,linux,C,5.4,resource_dos,memory_safety;path_traversal;resource_dos;ssrf_redirect,0.14285714285714285,True,True,True
109,CVE-2011-1767,,linux,C,5.4,resource_dos,,0.35,True,False,False
110,CVE-2011-1759,CWE-189,linux,C,6.2,memory_safety,memory_safety;resource_dos;ssrf_redirect,0.42857142857142855,True,True,True
111,CVE-2011-1479,CWE-399,linux,C,4.7,resource_dos,command_injection;memory_safety;path_traversal;resource_dos;ssrf_redirect,0.23076923076923078,True,True,True
112,CVE-2011-1477,CWE-119,linux,C,7.2,memory_safety,memory_safety;resource_dos;ssrf_redirect,0.25806451612903225,True,True,True
113,CVE-2011-1476,CWE-189,linux,C,4.0,memory_safety,crypto_secret;memory_safety;path_traversal;resource_dos;ssrf_redirect,0.3448275862068966,True,True,True
114,CVE-2011-1160,CWE-200,linux,C,2.1,auth_access,memory_safety;resource_dos;xxe,0.2916666666666667,True,False,False
115,CVE-2011-1080,CWE-20,linux,C,2.1,command_injection,command_injection;memory_safety;resource_dos;ssrf_redirect,0.3055555555555556,True,True,True
116,CVE-2011-1079,CWE-20,linux,C,5.4,command_injection,memory_safety;resource_dos,0.3333333333333333,True,False,False
117,CVE-2011-1078,CWE-200,linux,C,1.9,auth_access,resource_dos,0.32,True,False,False
118,CVE-2011-1023,,linux,C,4.9,resource_dos,memory_safety;path_traversal;resource_dos;ssrf_redirect,0.2727272727272727,True,True,True
119,CVE-2011-1021,CWE-264,linux,C,3.6,auth_access,auth_access;command_injection;memory_safety;path_traversal;resource_dos;ssrf_redirect;xss,0.75,True,True,True
120,CVE-2011-0716,CWE-399,linux,C,4.7,resource_dos,memory_safety;resource_dos,0.3448275862068966,True,True,True
121,CVE-2011-0006,CWE-264,linux,C,1.9,ssrf_redirect,command_injection;ssrf_redirect,0.4,True,True,True
122,CVE-2010-4650,CWE-119,linux,C,4.6,memory_safety,crypto_secret;memory_safety;resource_dos,0.17391304347826086,True,True,True
123,CVE-2010-4648,,linux,C,3.3,auth_access,auth_access;resource_dos;ssrf_redirect,0.28,True,True,True
124,CVE-2010-4250,CWE-399,linux,C,4.9,resource_dos,memory_safety;resource_dos,0.30434782608695654,True,True,True
125,CVE-2013-7027,CWE-119,linux,C,6.1,memory_safety,memory_safety;resource_dos,0.4,True,True,True
126,CVE-2013-7026,CWE-362,linux,C,4.7,resource_dos,deserialization;memory_safety;path_traversal;resource_dos,0.3225806451612903,True,True,True
127,CVE-2013-7024,CWE-119,FFmpeg,C,6.8,memory_safety,auth_access;resource_dos,0.1875,True,False,False
128,CVE-2013-7023,CWE-119,FFmpeg,C,6.8,memory_safety,memory_safety;resource_dos,0.09375,True,True,False
129,CVE-2013-7022,CWE-119,FFmpeg,C,6.8,memory_safety,auth_access;memory_safety;resource_dos,0.1935483870967742,True,True,True
130,CVE-2013-7021,CWE-399,FFmpeg,C,6.8,resource_dos,resource_dos,0.14285714285714285,True,True,True
131,CVE-2013-7020,CWE-119,FFmpeg,C,6.8,memory_safety,resource_dos,0.11764705882352941,True,False,False
132,CVE-2013-7019,CWE-20,FFmpeg,C,6.8,auth_access,auth_access;ssrf_redirect,0.16666666666666666,True,True,True
133,CVE-2013-7018,CWE-119,FFmpeg,C,6.8,memory_safety,auth_access;resource_dos;ssrf_redirect,0.22580645161290322,True,False,False
134,CVE-2013-7017,,FFmpeg,C,6.8,resource_dos,memory_safety;resource_dos,0.15,True,True,True
135,CVE-2013-7016,CWE-119,FFmpeg,C,6.8,memory_safety,auth_access,0.1935483870967742,True,False,False
136,CVE-2013-7015,CWE-20,FFmpeg,C,6.8,auth_access,auth_access,0.21212121212121213,True,True,True
137,CVE-2013-7014,CWE-189,FFmpeg,C,6.8,memory_safety,auth_access;resource_dos,0.18518518518518517,True,False,False
138,CVE-2013-7013,CWE-189,FFmpeg,C,6.8,memory_safety,auth_access;memory_safety;resource_dos,0.16666666666666666,True,True,True
139,CVE-2013-7012,CWE-119,FFmpeg,C,6.8,memory_safety,auth_access;ssrf_redirect,0.2647058823529412,True,False,False
140,CVE-2013-7011,CWE-119,FFmpeg,C,6.8,memory_safety,resource_dos,0.1935483870967742,True,False,False
141,CVE-2013-7010,CWE-189,FFmpeg,C,6.8,memory_safety,resource_dos,0.12,True,False,False
142,CVE-2013-7009,CWE-119,FFmpeg,C,6.8,memory_safety,auth_access;memory_safety;resource_dos,0.22580645161290322,True,True,True
143,CVE-2013-7008,,FFmpeg,C,6.8,resource_dos,,0.19230769230769232,True,False,False
144,CVE-2013-6800,,krb5,C,4.0,auth_access,auth_access;memory_safety;ssrf_redirect,0.3125,True,True,True
145,CVE-2013-6763,CWE-119,linux,C,6.9,memory_safety,memory_safety;path_traversal;resource_dos;ssrf_redirect,0.2647058823529412,True,True,True
146,CVE-2013-6432,,linux,C,4.6,command_injection,memory_safety;resource_dos,0.28125,True,False,False
147,CVE-2013-6431,CWE-264,linux,C,4.7,resource_dos,command_injection;memory_safety;xss,0.2903225806451613,True,False,False
148,CVE-2013-6404,CWE-264,quassel,C++,4.0,sql_injection,auth_access;crypto_secret;memory_safety;path_traversal;resource_dos;sql_injection;ssrf_redirect,0.4166666666666667,True,True,True
149,CVE-2013-6383,CWE-264,linux,C,6.9,auth_access,crypto_secret;ssrf_redirect,0.375,True,False,False
150,CVE-2013-6381,CWE-119,linux,C,6.9,memory_safety,command_injection;memory_safety;resource_dos;sql_injection;ssrf_redirect,0.41935483870967744,True,True,True
151,CVE-2013-6380,CWE-20,linux,C,4.7,command_injection,auth_access;command_injection;memory_safety;resource_dos,0.2631578947368421,True,True,True
152,CVE-2013-6378,CWE-189,linux,C,4.4,memory_safety,memory_safety;resource_dos,0.36,True,True,True
153,CVE-2013-6376,CWE-189,linux,C,5.2,memory_safety,auth_access;memory_safety;ssrf_redirect,0.5,True,True,True
154,CVE-2013-6368,CWE-20,linux,C,6.2,auth_access,command_injection;memory_safety;path_traversal;resource_dos;sql_injection;ssrf_redirect,0.32,True,False,False
155,CVE-2013-6367,CWE-189,linux,C,5.7,memory_safety,command_injection;memory_safety;ssrf_redirect,0.48148148148148145,True,True,True
156,CVE-2013-6282,CWE-20,linux,C,7.2,resource_dos,auth_access;memory_safety;path_traversal;resource_dos;ssrf_redirect,0.2903225806451613,True,True,True
157,CVE-2013-5634,CWE-399,linux,C,4.3,resource_dos,command_injection;crypto_secret;memory_safety;resource_dos;ssrf_redirect,0.4666666666666667,True,True,True
158,CVE-2013-4623,CWE-20,polarssl,C,4.3,xss,auth_access;crypto_secret;memory_safety;path_traversal;resource_dos;ssrf_redirect,0.23333333333333334,True,False,False
159,CVE-2013-4592,CWE-399,linux,C,4.0,auth_access,memory_safety;resource_dos,0.25,True,False,False
160,CVE-2013-4591,CWE-119,linux,C,6.2,memory_safety,memory_safety;resource_dos,0.35294117647058826,True,True,True
161,CVE-2013-4588,CWE-119,linux,C,6.6,memory_safety,command_injection;memory_safety;resource_dos,0.375,True,True,True
162,CVE-2013-4587,CWE-20,linux,C,7.2,auth_access,memory_safety;resource_dos,0.23809523809523808,True,False,False
163,CVE-2013-4563,CWE-189,linux,C,7.1,memory_safety,,0.2558139534883721,True,False,False
164,CVE-2013-4516,CWE-200,linux,C,4.9,auth_access,,0.37037037037037035,True,False,False
165,CVE-2013-4515,CWE-200,linux,C,4.9,auth_access,memory_safety;resource_dos,0.4230769230769231,True,False,False
166,CVE-2013-4514,CWE-119,linux,C,4.7,memory_safety,crypto_secret;memory_safety;resource_dos,0.42424242424242425,True,True,True
167,CVE-2013-4513,CWE-119,linux,C,4.9,memory_safety,memory_safety;resource_dos,0.36,True,True,True
168,CVE-2013-4512,CWE-119,linux,C,4.7,memory_safety,memory_safety;resource_dos,0.3333333333333333,True,True,True
169,CVE-2013-4483,CWE-189,linux,C,4.9,memory_safety,deserialization;memory_safety;path_traversal;ssrf_redirect,0.15384615384615385,True,True,True
170,CVE-2013-4470,CWE-264,linux,C,6.9,auth_access,memory_safety;resource_dos,0.16666666666666666,True,False,False
171,CVE-2013-4387,CWE-119,linux,C,6.1,memory_safety,memory_safety;path_traversal;resource_dos,0.2727272727272727,True,True,True
172,CVE-2013-4350,CWE-310,linux,C,5.0,crypto_secret,crypto_secret;memory_safety;resource_dos,0.18518518518518517,True,True,True
173,CVE-2013-4300,CWE-264,linux,C,7.2,auth_access,ssrf_redirect,0.4090909090909091,True,False,False
174,CVE-2013-4299,CWE-264,linux,C,6.0,auth_access,memory_safety;resource_dos,0.25,True,False,False
175,CVE-2013-4270,CWE-20,linux,C,3.6,auth_access,auth_access,0.3333333333333333,True,True,True
176,CVE-2013-4265,,FFmpeg,C,10.0,memory_safety,memory_safety;resource_dos,0.4375,True,True,True
177,CVE-2013-4264,CWE-119,FFmpeg,C,4.3,memory_safety,memory_safety;resource_dos,0.15,True,True,True
178,CVE-2013-4263,CWE-119,FFmpeg,C,7.5,memory_safety,auth_access;path_traversal;resource_dos;ssrf_redirect,0.25,True,False,False
179,CVE-2013-4254,CWE-20,linux,C,6.9,auth_access,memory_safety,0.4827586206896552,True,False,False
180,CVE-2013-4247,CWE-189,linux,C,7.8,memory_safety,auth_access;memory_safety;path_traversal;resource_dos,0.21212121212121213,True,True,True
181,CVE-2013-4244,CWE-119,libtiff,C,6.8,memory_safety,path_traversal;ssrf_redirect,0.1111111111111111,True,False,False
182,CVE-2013-4220,,linux,C,4.9,auth_access,memory_safety,0.2413793103448276,True,False,False
183,CVE-2013-4205,CWE-399,linux,C,4.7,resource_dos,memory_safety,0.25,True,False,False
184,CVE-2013-4163,CWE-399,linux,C,4.7,resource_dos,memory_safety;path_traversal;resource_dos,0.23684210526315788,True,True,True
185,CVE-2013-4162,CWE-399,linux,C,4.7,resource_dos,crypto_secret;memory_safety;path_traversal;resource_dos;ssrf_redirect,0.3125,True,True,True
186,CVE-2013-4136,CWE-59,passenger,C++,4.4,path_traversal,auth_access;memory_safety;path_traversal;resource_dos;ssrf_redirect,0.28,True,True,True
187,CVE-2013-4129,CWE-20,linux,C,4.7,resource_dos,memory_safety;path_traversal;ssrf_redirect,0.24324324324324326,True,False,False
188,CVE-2013-4127,CWE-399,linux,C,4.7,resource_dos,memory_safety;resource_dos;ssrf_redirect,0.23076923076923078,True,True,True
189,CVE-2013-4125,CWE-399,linux,C,5.4,resource_dos,path_traversal;resource_dos;ssrf_redirect,0.28888888888888886,True,True,True
190,CVE-2013-3735,CWE-20,php-src,C,5.0,resource_dos,memory_safety;path_traversal;resource_dos;ssrf_redirect,0.14285714285714285,True,True,True
191,CVE-2013-3302,CWE-362,linux,C,4.4,resource_dos,memory_safety;resource_dos,0.2857142857142857,True,True,True
192,CVE-2013-3301,,linux,C,7.2,auth_access,command_injection;memory_safety;path_traversal;resource_dos;ssrf_redirect,0.3225806451612903,True,False,False
193,CVE-2013-3237,CWE-200,linux,C,4.9,auth_access,memory_safety;resource_dos,0.27586206896551724,True,False,False
194,CVE-2013-3236,CWE-200,linux,C,4.9,auth_access,memory_safety;resource_dos,0.36666666666666664,True,False,False
195,CVE-2013-3235,CWE-200,linux,C,4.9,auth_access,memory_safety;resource_dos,0.4482758620689655,True,False,False
196,CVE-2013-3234,CWE-200,linux,C,4.9,auth_access,memory_safety;resource_dos,0.4482758620689655,True,False,False
197,CVE-2013-3233,CWE-200,linux,C,4.9,auth_access,memory_safety;resource_dos;ssrf_redirect,0.4375,True,False,False
198,CVE-2013-3232,CWE-200,linux,C,4.9,auth_access,memory_safety;resource_dos;ssrf_redirect,0.41379310344827586,True,False,False
199,CVE-2013-3231,CWE-200,linux,C,4.7,auth_access,memory_safety;resource_dos;ssrf_redirect,0.3103448275862069,True,False,False
200,CVE-2013-3230,CWE-200,linux,C,4.9,auth_access,,0.3103448275862069,True,False,False
201,CVE-2013-3229,CWE-200,linux,C,4.9,auth_access,memory_safety;resource_dos,0.3448275862068966,True,False,False
202,CVE-2013-3228,CWE-200,linux,C,4.9,auth_access,memory_safety;resource_dos,0.3448275862068966,True,False,False
203,CVE-2013-3227,CWE-200,linux,C,4.9,auth_access,memory_safety;resource_dos,0.3448275862068966,True,False,False
204,CVE-2013-3226,CWE-200,linux,C,4.9,auth_access,,0.20689655172413793,True,False,False
205,CVE-2013-3225,CWE-200,linux,C,4.9,auth_access,,0.23333333333333334,True,False,False
206,CVE-2013-3224,CWE-200,linux,C,4.9,auth_access,memory_safety;resource_dos,0.3333333333333333,True,False,False
207,CVE-2013-3223,CWE-200,linux,C,4.9,auth_access,memory_safety;resource_dos;ssrf_redirect,0.41379310344827586,True,False,False
208,CVE-2013-3222,CWE-200,linux,C,4.9,auth_access,memory_safety;resource_dos,0.3448275862068966,True,False,False
209,CVE-2013-3076,CWE-200,linux,C,4.9,auth_access,crypto_secret;memory_safety;path_traversal;resource_dos;ssrf_redirect,0.42424242424242425,True,False,False
