idx,cve_id,hash,repo_url,language,cwe_id,ref_category,candidate_categories,token_coverage,structural_only_gate,category_gate,strict_mddc_gate
14,CVE-2016-7150,dd975fff7fce81bf12f9c59edb1a99475747c83c,https://github.com/b2evolution/b2evolution,PHP,CWE-79,xss,ssrf_redirect;xss,0.08571428571428572,True,True,False
15,CVE-2016-8901,999b5ad1d59760d7e450ceb541f55432fc74cd27,https://github.com/b2evolution/b2evolution,PHP,CWE-74,command_injection,command_injection;memory_safety;sql_injection;ssrf_redirect,0.15,True,True,True
16,CVE-2016-8901,25c21cf9cc4261324001f9039509710b37ee2c4d,https://github.com/b2evolution/b2evolution,PHP,CWE-74,command_injection,command_injection;memory_safety;sql_injection;ssrf_redirect,0.175,True,True,True
17,CVE-2017-1000423,b899d654d931f3bf3cfbbdd71e0d1a0f3a16d04c,https://github.com/b2evolution/b2evolution,PHP,CWE-20,xss,auth_access;crypto_secret;path_traversal;ssrf_redirect,0.09090909090909091,True,False,False
18,CVE-2017-1000423,0096a3ebc85f6aadbda2c4427cd092a538b161d2,https://github.com/b2evolution/b2evolution,PHP,CWE-20,xss,path_traversal;ssrf_redirect,0.18181818181818182,True,False,False
19,CVE-2017-5480,26841d9c81f27ad23b2f6e4bd5eaec7f2f58dfe0,https://github.com/b2evolution/b2evolution,PHP,CWE-22,path_traversal,path_traversal;ssrf_redirect,0.20408163265306123,True,True,True
20,CVE-2017-5494,261dbd5b294e707af766691e65a177a290314a6e,https://github.com/b2evolution/b2evolution,PHP,CWE-79,xss,memory_safety;path_traversal;sql_injection;ssrf_redirect;xss;xxe,0.11904761904761904,True,True,True
21,CVE-2017-5539,e35f7c195d8c1103d2d981a48cda5ab45ecac48a,https://github.com/b2evolution/b2evolution,Unknown,CWE-22,path_traversal,,0.0,False,False,False
22,CVE-2017-5553,ce5b36e44b714b18b0bcd34c6db0187b8d13bab8,https://github.com/b2evolution/b2evolution,PHP,CWE-79,xss,ssrf_redirect;xss;xxe,0.2,True,True,True
23,CVE-2020-24654,8bf8c5ef07b0ac5e914d752681e470dea403a5bd,https://github.com/KDE/ark,C++,CWE-59,path_traversal,path_traversal,0.14705882352941177,True,True,True
24,CVE-2015-10092,74b3932696f9868e14563e51b7d0bb68c53bf5e4,https://github.com/wp-plugins/qtranslate-slug,PHP,CWE-79,xss,memory_safety;path_traversal;sql_injection;ssrf_redirect;xss,0.09259259259259259,True,True,False
25,CVE-2022-0159,4da927d39a49138527c30db09c962ff706f95202,https://github.com/orchardcms/orchardcore,Other,CWE-79,xss,auth_access;path_traversal;ssrf_redirect;xss,0.125,True,True,True
26,CVE-2022-0243,218f25ddfadb66a54de7a82dffe3ab2e4ab7c4b4,https://github.com/orchardcms/orchardcore,C#,CWE-79,xss,auth_access;memory_safety;ssrf_redirect;xss,0.0967741935483871,True,True,False
27,CVE-2022-0274,218f25ddfadb66a54de7a82dffe3ab2e4ab7c4b4,https://github.com/orchardcms/orchardcore,C#,CWE-79,xss,auth_access;memory_safety;ssrf_redirect;xss,0.0967741935483871,True,True,False
28,CVE-2022-0820,b7096af1028d8f909f63dd076d1bbd573913a92d,https://github.com/orchardcms/orchardcore,C#,CWE-79,xss,auth_access;crypto_secret;sql_injection;ssrf_redirect,0.1,True,False,False
29,CVE-2022-0821,b7096af1028d8f909f63dd076d1bbd573913a92d,https://github.com/orchardcms/orchardcore,C#,NVD-CWE-Other,auth_access,auth_access;crypto_secret;sql_injection;ssrf_redirect,0.2,False,False,False
30,CVE-2022-0822,b7096af1028d8f909f63dd076d1bbd573913a92d,https://github.com/orchardcms/orchardcore,C#,CWE-79,xss,auth_access;crypto_secret;sql_injection;ssrf_redirect,0.1,True,False,False
31,CVE-2022-0402,c19d65abbe43d9b6359c1bf3498dc697d0c19d02,https://github.com/RensTillmann/super-forms,PHP,CWE-79,xss,memory_safety;path_traversal;resource_dos;ssrf_redirect;xss,0.15384615384615385,True,True,True
32,CVE-2014-0177,016ec99d25b1cb83cb4367e541177aa431beb600,https://github.com/github/hub,Ruby,CWE-310,path_traversal,command_injection;memory_safety;path_traversal;resource_dos;ssrf_redirect,0.16666666666666666,True,True,True
33,CVE-2024-3651,1d365e17e10d72d0b7876316fc7b9ca0eebdd38d,https://github.com/kjd/idna,Python,NVD-CWE-noinfo,xss,xss,0.10869565217391304,False,False,False
34,CVE-2021-32765,76a7b10005c70babee357a7d0f2becf28ec7ed1e,https://github.com/redis/hiredis,C,CWE-190,memory_safety,memory_safety;resource_dos;ssrf_redirect,0.25882352941176473,True,True,True
35,CVE-2024-28236,e1572743b008e4fbce31ebb1dcd23bf6a1a30297,https://github.com/go-vela/worker,Go,NVD-CWE-noinfo,command_injection,auth_access;command_injection;crypto_secret;resource_dos;sql_injection;ssrf_redirect;xss,0.16184971098265896,False,False,False
36,CVE-2023-32070,c40e2f5f9482ec6c3e71dbf1fff5ba8a5e44cdc1,https://github.com/xwiki/xwiki-rendering,Other,CWE-79,xss,path_traversal;resource_dos;ssrf_redirect;xss;xxe,0.17307692307692307,True,True,True
37,CVE-2023-37908,f4d5acac451dccaf276e69f0b49b72221eef5d2f,https://github.com/xwiki/xwiki-rendering,Java,CWE-79,xss,crypto_secret;memory_safety;ssrf_redirect;xss;xxe,0.1553398058252427,True,True,True
38,CVE-2023-37912,5f558b8fac8b716d19999225f38cb8ed0814116e,https://github.com/xwiki/xwiki-rendering,Java,NVD-CWE-noinfo,command_injection,command_injection;memory_safety;path_traversal;ssrf_redirect;xss;xxe,0.203125,False,False,False
39,CVE-2024-29900,d421d4bd3ced889a4143c5c3ab6d95e3be249eee,https://github.com/electron/packager,TypeScript,NVD-CWE-noinfo,path_traversal,crypto_secret;memory_safety;path_traversal;resource_dos,0.06521739130434782,False,False,False
40,CVE-2021-4431,3bd1709a8f7b1720529bf5dfc9855ad609f436cf,https://github.com/msyk/FMDataAPI,PHP,CWE-79,xss,memory_safety;path_traversal;sql_injection;ssrf_redirect;xss,0.07692307692307693,True,True,False
41,CVE-2023-31470,56d0332bf91104cfc877635f6c82e9348587df04,https://github.com/pymumu/smartdns,C,CWE-787,memory_safety,crypto_secret;memory_safety;resource_dos;ssrf_redirect;xss,0.15384615384615385,True,True,True
42,CVE-2023-28444,d701f51260637a84ede278e248934e0437a7ff86,https://github.com/kyubisation/angular-server-side-configuration,TypeScript,CWE-200,auth_access,command_injection;crypto_secret;memory_safety;path_traversal;ssrf_redirect;xss,0.49411764705882355,True,False,False
43,CVE-2014-8351,489b6050f6c53fe7b24c4bed3eeb9c25543960e2,https://github.com/LaboCNIL/CookieViz,PHP,CWE-89,sql_injection,memory_safety;path_traversal;sql_injection;ssrf_redirect;xss,0.09230769230769231,True,True,False
44,CVE-2014-8352,489b6050f6c53fe7b24c4bed3eeb9c25543960e2,https://github.com/LaboCNIL/CookieViz,PHP,CWE-79,xss,memory_safety;path_traversal;sql_injection;ssrf_redirect;xss,0.09090909090909091,True,True,False
45,CVE-2023-1070,0af3574caba27a61b16dc25c94fa51ae12d2d967,https://github.com/nilsteampassnet/teampass,PHP,CWE-73,path_traversal,auth_access;crypto_secret;path_traversal;ssrf_redirect;xss,0.1,True,True,True
46,CVE-2023-1463,4e06fbaf2b78c3615d0599855a72ba7e31157516,https://github.com/nilsteampassnet/teampass,PHP,CWE-639,auth_access,auth_access;crypto_secret;path_traversal;resource_dos;ssrf_redirect;xss,0.2,True,True,True
47,CVE-2023-1545,4780252fdb600ef2ec2758f17a37d738570cbe66,https://github.com/nilsteampassnet/teampass,PHP,CWE-89,sql_injection,auth_access;command_injection;crypto_secret;path_traversal;sql_injection;xss,0.1,True,True,True
48,CVE-2023-2021,77c541a0151841d1f4ceb0a84ca391e1b526d58d,https://github.com/nilsteampassnet/teampass,PHP,CWE-79,xss,auth_access;memory_safety;path_traversal;ssrf_redirect;xss,0.06666666666666667,True,True,False
49,CVE-2023-2516,39b774cba118ca5383b0a51a71b1e7dea2761927,https://github.com/nilsteampassnet/teampass,JavaScript,CWE-79,xss,auth_access;command_injection;crypto_secret;memory_safety;path_traversal;ssrf_redirect;xss,0.16666666666666666,True,True,True
50,CVE-2023-2591,57a977c6323656e5dc06ab5c227e75c3465a1a4a,https://github.com/nilsteampassnet/teampass,PHP,CWE-79,xss,auth_access;crypto_secret;path_traversal;ssrf_redirect;xss,0.0,True,True,False
51,CVE-2023-2859,1f51482a0c4d152ca876844212b0f8f3cb9387af,https://github.com/nilsteampassnet/teampass,PHP,CWE-94,command_injection,crypto_secret;path_traversal,0.0,True,False,False
52,CVE-2023-3009,6ba8cf1f4b89d62a08d122d533ccf4cb4e26a4ee,https://github.com/nilsteampassnet/teampass,PHP,CWE-79,xss,auth_access;crypto_secret;memory_safety;path_traversal;resource_dos;sql_injection;ssrf_redirect;xss,0.06666666666666667,True,True,False
53,CVE-2023-3083,79731553fa305d45dabb7a227f3074d56d7c94c1,https://github.com/nilsteampassnet/teampass,PHP,CWE-79,xss,auth_access;command_injection;crypto_secret;memory_safety;resource_dos;sql_injection;ssrf_redirect;xss,0.16666666666666666,True,True,True
54,CVE-2023-3084,61b9b7d4e33bbaad2cd61a7ee988f9c22298bf1a,https://github.com/nilsteampassnet/teampass,PHP,CWE-79,xss,auth_access;crypto_secret;path_traversal;resource_dos;ssrf_redirect;xss,0.06666666666666667,True,True,False
55,CVE-2023-3086,1c0825b67eb8f8b5ecc418ff7614423a275e6a79,https://github.com/nilsteampassnet/teampass,PHP,CWE-79,xss,auth_access;crypto_secret;memory_safety;path_traversal;resource_dos;sql_injection;ssrf_redirect;xss,0.06666666666666667,True,True,False
56,CVE-2023-3095,774985f62f080715774604927fba2cb6ef701612,https://github.com/nilsteampassnet/teampass,PHP,CWE-284,auth_access,auth_access;crypto_secret;memory_safety;path_traversal;resource_dos;sql_injection;ssrf_redirect;xss,0.17647058823529413,True,True,True
57,CVE-2023-3190,241dbd4159a5d63b55af426464d30dbb53925705,https://github.com/nilsteampassnet/teampass,PHP,CWE-116,xss,path_traversal;resource_dos;sql_injection;ssrf_redirect;xss,0.038461538461538464,True,True,False
58,CVE-2023-3191,241dbd4159a5d63b55af426464d30dbb53925705,https://github.com/nilsteampassnet/teampass,PHP,CWE-79,xss,path_traversal;resource_dos;sql_injection;ssrf_redirect;xss,0.1,True,True,True
59,CVE-2023-3531,cb8ea5ccca61653895bb6881547e463baa50293d,https://github.com/nilsteampassnet/teampass,PHP,CWE-79,xss,crypto_secret;memory_safety;path_traversal;resource_dos;sql_injection;ssrf_redirect;xss,0.03333333333333333,True,True,False
60,CVE-2023-3551,cc6abc76aa46ed4a27736c1d2f21e432a5d54e6f,https://github.com/nilsteampassnet/teampass,PHP,CWE-94,command_injection,auth_access;crypto_secret;memory_safety;path_traversal;resource_dos;ssrf_redirect;xss,0.125,True,False,False
61,CVE-2023-3552,8acb4dacc2d008a4186a4e13cc143e978f113955,https://github.com/nilsteampassnet/teampass,PHP,CWE-116,xss,auth_access;crypto_secret;path_traversal;ssrf_redirect;xss,0.038461538461538464,True,True,False
62,CVE-2023-3553,e9f90b746fdde135da3c7fbe4fa22fe2bd32e66b,https://github.com/nilsteampassnet/teampass,HTML,CWE-200,auth_access,auth_access;memory_safety;path_traversal;ssrf_redirect;xss;xxe,0.125,True,True,True
63,CVE-2023-3565,820bb49a362a566c9038e4a3048b26d654babb0e,https://github.com/nilsteampassnet/teampass,PHP,CWE-79,xss,auth_access;crypto_secret;memory_safety;ssrf_redirect;xss,0.13333333333333333,True,True,True
64,CVE-2015-6941,c0689e32154c41f59840ae10ffc5fbfa30618710,https://github.com/twangboy/salt,Python,CWE-534,path_traversal,auth_access;crypto_secret,0.07692307692307693,True,False,False
65,CVE-2020-15095,a9857b8f6869451ff058789c4631fadfde5bbcbc,https://github.com/npm/cli,JavaScript,CWE-532,path_traversal,auth_access;command_injection;crypto_secret;memory_safety;path_traversal;resource_dos;ssrf_redirect,0.1388888888888889,True,True,True
66,CVE-2021-43616,457e0ae61bbc55846f5af44afa4066921923490f,https://github.com/npm/cli,JavaScript,CWE-345,path_traversal,command_injection;crypto_secret;memory_safety;path_traversal;resource_dos;ssrf_redirect;xss,0.208955223880597,True,True,True
67,CVE-2018-1000041,f9d69eadd2b16b00d1a1f9f286122123f8e547dd,https://github.com/ImageMagick/librsvg,C,NVD-CWE-noinfo,path_traversal,auth_access;path_traversal;ssrf_redirect,0.022727272727272728,False,False,False
68,CVE-2021-21403,9a125624f219e496bdf4b07b404816d5a309bdc1,https://github.com/kongchuanhujiao/server,Go,CWE-287,auth_access,auth_access;memory_safety;resource_dos,0.15384615384615385,True,True,True
69,CVE-2021-32851,073485269ac83af24371f35bd08507defa885655,https://github.com/ssshooter/mind-elixir-core,TypeScript,CWE-79,xss,crypto_secret;memory_safety;resource_dos;ssrf_redirect;xss,0.23684210526315788,True,True,True
70,CVE-2020-29074,69eeb9f7baa14ca03b16c9de821f9876def7a36a,https://github.com/LibVNC/x11vnc,C,CWE-732,auth_access,auth_access;memory_safety;resource_dos,0.2222222222222222,True,True,True
71,CVE-2021-4286,dba52642f5e95d3da7af1780561213ee6053195f,https://github.com/cocagne/pysrp,Unknown,CWE-203,path_traversal,ssrf_redirect,0.019230769230769232,False,False,False
72,CVE-2013-4509,6aae0a9f145f536515e268dd6b25aa740a5edfe7,https://github.com/ibus/ibus-anthy,Python,CWE-255,auth_access,auth_access;command_injection;crypto_secret;resource_dos,0.125,True,True,True
73,CVE-2021-29451,8c754a0ad234555e813dcbf9e57d637f9f23d8fb,https://github.com/ManyDesigns/Portofino,Java,CWE-347,auth_access,auth_access;crypto_secret;ssrf_redirect,0.1,True,True,True
74,CVE-2022-3952,94653cb357806c9cf24d8d294e6afea33f8f0775,https://github.com/ManyDesigns/Portofino,Java,CWE-668,path_traversal,auth_access;crypto_secret;path_traversal;ssrf_redirect,0.2558139534883721,True,True,True
75,CVE-2022-22984,e8dd2a330b40d7fc0ab47e34413e80a0146d7ac3,https://github.com/snyk/snyk-hex-plugin,Other,CWE-78,command_injection,command_injection;path_traversal;ssrf_redirect;xss,0.0660377358490566,True,True,False
76,CVE-2022-4639,b19f8a6046b080e4c2e28354a58556bb26040c6f,https://github.com/yrutschle/sslh,C,CWE-134,path_traversal,,0.1794871794871795,True,False,False
77,CVE-2022-1650,10ee0c4881a6ba2fe65ec18ed195ac35889583c4,https://github.com/eventsource/eventsource,JavaScript,CWE-212,auth_access,auth_access;crypto_secret;memory_safety;resource_dos;ssrf_redirect,0.16666666666666666,True,True,True
78,CVE-2020-26298,a699c82292b17c8e6a62e1914d5eccc252272793,https://github.com/vmg/redcarpet,Ruby,CWE-74,command_injection,auth_access;resource_dos;ssrf_redirect;xss,0.15254237288135594,True,False,False
79,CVE-2014-125079,e52a758f96861dcef2dabfecb9da191bb2e07761,https://github.com/agy/pontifex.http,Other,CWE-89,sql_injection,auth_access;command_injection;path_traversal;sql_injection;ssrf_redirect,0.08823529411764706,True,True,False
80,CVE-2023-7166,c62da9bb3a9b3603014d0edb436146512631100d,https://github.com/201206030/novel-plus,Java,CWE-79,xss,auth_access;crypto_secret;memory_safety;xxe,0.09259259259259259,True,False,False
81,CVE-2023-7171,d6093d8182362422370d7eaf6c53afde9ee45215,https://github.com/201206030/novel-plus,Java,CWE-79,xss,auth_access;command_injection;crypto_secret;memory_safety;ssrf_redirect;xxe,0.2033898305084746,True,False,False
82,CVE-2021-22204,cf0f4e7dcd024ca99615bfd1102a841a25dde031,https://github.com/exiftool/exiftool,HTML,CWE-94,command_injection,command_injection;deserialization;path_traversal;ssrf_redirect;xss;xxe,0.17073170731707318,True,True,True
83,CVE-2022-23935,74dbab1d2766d6422bb05b033ac6634bf8d1f582,https://github.com/exiftool/exiftool,HTML,CWE-78,command_injection,command_injection;deserialization;path_traversal;ssrf_redirect;xss;xxe,0.17647058823529413,True,True,True
84,CVE-2020-15098,85d3e70dff35a99ef53f4b561114acfa9e5c47e1,https://github.com/TYPO3/TYPO3.CMS,PHP,CWE-327,crypto_secret,crypto_secret;path_traversal;sql_injection;ssrf_redirect,0.15789473684210525,True,True,True
85,CVE-2023-52266,17405b975948abc216f6a085d2d027ec1cfd5766,https://github.com/hongliuliao/ehttp,C++,CWE-416,memory_safety,command_injection;memory_safety;path_traversal;resource_dos;ssrf_redirect;xss,0.13636363636363635,True,True,True
86,CVE-2023-52267,17405b975948abc216f6a085d2d027ec1cfd5766,https://github.com/hongliuliao/ehttp,C++,CWE-125,memory_safety,command_injection;memory_safety;path_traversal;resource_dos;ssrf_redirect;xss,0.19047619047619047,True,True,True
87,CVE-2017-17713,628149159ba25adbfc29a3ae1d4b10c7eb936dd3,https://github.com/boxug/trape,Python,CWE-89,sql_injection,auth_access;command_injection;sql_injection;ssrf_redirect;xss,0.09090909090909091,True,True,False
88,CVE-2017-17714,628149159ba25adbfc29a3ae1d4b10c7eb936dd3,https://github.com/boxug/trape,Python,CWE-79,xss,auth_access;command_injection;sql_injection;ssrf_redirect;xss,0.10869565217391304,True,True,True
89,CVE-2021-29421,3f38f73218e5e782fe411ccbb3b44a793c0b343a,https://github.com/pikepdf/pikepdf,Python,CWE-611,xxe,crypto_secret;memory_safety;path_traversal;ssrf_redirect;xss;xxe,0.2702702702702703,True,True,True
90,CVE-2016-4444,5cd60033ea7f5bdf8c19c27b23ea2d773d9b09f5,https://github.com/fedora-selinux/setroubleshoot,Python,CWE-77,command_injection,auth_access;command_injection;path_traversal;ssrf_redirect;xss,0.15217391304347827,True,True,True
91,CVE-2016-4445,2d12677629ca319310f6263688bb1b7f676c01b7,https://github.com/fedora-selinux/setroubleshoot,Other,CWE-77,command_injection,command_injection;crypto_secret;resource_dos;sql_injection;xxe,0.1276595744680851,True,True,True
92,CVE-2024-29187,6d372e5169f1a334a395cdf496443bc0732098e9,https://github.com/wixtoolset/wix3,C++,NVD-CWE-noinfo,path_traversal,auth_access;crypto_secret;memory_safety;path_traversal;resource_dos;ssrf_redirect;xss,0.2222222222222222,False,False,False
93,CVE-2024-29188,93eeb5f6835776694021f66d4226c262c67d487a,https://github.com/wixtoolset/wix3,C++,NVD-CWE-noinfo,path_traversal,memory_safety;path_traversal,0.19047619047619047,False,False,False
94,CVE-2018-21234,9bffc3913aeb8472c11bb543243004b4b4376f16,https://github.com/oblac/jodd,Java,CWE-502,deserialization,command_injection;crypto_secret;deserialization;memory_safety;resource_dos;sql_injection;ssrf_redirect;xss,0.2222222222222222,True,True,True
95,CVE-2019-10767,f6e292c6750a491a5000d0f851b2fede4f9e2fda,https://github.com/ioBroker/ioBroker.js-controller,JavaScript,CWE-22,path_traversal,path_traversal;ssrf_redirect;xss,0.06,True,True,False
96,CVE-2021-32773,6ca4ffeca1e5877d44f835760ad89f18488d97e1,https://github.com/racket/racket,Other,CWE-610,command_injection,auth_access;command_injection;memory_safety;path_traversal;resource_dos,0.23529411764705882,True,True,True
97,CVE-2013-7283,ef2d756e73a188401c36133c2e2f7ce4f3c6ae55,https://github.com/libreswan/libreswan,Other,CWE-362,path_traversal,auth_access;crypto_secret;memory_safety;path_traversal;ssrf_redirect,0.1956521739130435,True,True,True
98,CVE-2013-7294,2899351224fe2940aec37d7656e1e392c0fe07f0,https://github.com/libreswan/libreswan,C,CWE-20,resource_dos,crypto_secret;memory_safety;resource_dos;ssrf_redirect,0.24242424242424243,True,True,True
99,CVE-2016-5361,152d6d95632d8b9477c170f1de99bcd86d7fb1d6,https://github.com/libreswan/libreswan,C,CWE-20,resource_dos,auth_access;crypto_secret;memory_safety;resource_dos,0.09090909090909091,True,True,False
100,CVE-2020-1763,471a3e41a449d7c753bc4edbba4239501bb62ba8,https://github.com/libreswan/libreswan,C,CWE-125,memory_safety,crypto_secret;memory_safety;ssrf_redirect,0.09090909090909091,True,True,False
101,CVE-2018-11319,6d7c0b394e001233dd09ec473fbea2002c72632f,https://github.com/vim-syntastic/syntastic,Other,CWE-22,path_traversal,path_traversal;ssrf_redirect,0.06349206349206349,True,True,False
102,CVE-2021-27582,7eba3c12fed82388f917e8dd9b73e86e3a311e4c,https://github.com/mitreid-connect/OpenID-Connect-Java-Spring-Server,Java,CWE-1321,auth_access,auth_access;memory_safety;ssrf_redirect;xss;xxe,0.33962264150943394,True,True,True
103,CVE-2017-20155,855d9560d3782c105568eedf9b22a769fbf29cc0,https://github.com/Sterc/Analytics-dashboard-widget,Unknown,CWE-79,xss,ssrf_redirect;xss,0.0,False,False,False
104,CVE-2018-15580,b1fc952c7600b825c4b02e2789ddafdea18c8d13,https://github.com/gnuboard/gnuboard5,PHP,CWE-79,xss,auth_access;path_traversal;sql_injection;xss,0.11428571428571428,True,True,True
105,CVE-2018-15581,b1fc952c7600b825c4b02e2789ddafdea18c8d13,https://github.com/gnuboard/gnuboard5,PHP,CWE-79,xss,auth_access;path_traversal;sql_injection;xss,0.11428571428571428,True,True,True
106,CVE-2018-15582,b1fc952c7600b825c4b02e2789ddafdea18c8d13,https://github.com/gnuboard/gnuboard5,PHP,CWE-79,xss,auth_access;path_traversal;sql_injection;xss,0.08108108108108109,True,True,False
107,CVE-2018-15583,b1fc952c7600b825c4b02e2789ddafdea18c8d13,https://github.com/gnuboard/gnuboard5,PHP,CWE-79,xss,auth_access;path_traversal;sql_injection;xss,0.07894736842105263,True,True,False
108,CVE-2018-15584,b1fc952c7600b825c4b02e2789ddafdea18c8d13,https://github.com/gnuboard/gnuboard5,PHP,CWE-79,xss,auth_access;path_traversal;sql_injection;xss,0.1388888888888889,True,True,True
109,CVE-2018-15585,b1fc952c7600b825c4b02e2789ddafdea18c8d13,https://github.com/gnuboard/gnuboard5,PHP,CWE-79,xss,auth_access;path_traversal;sql_injection;xss,0.10526315789473684,True,True,True
110,CVE-2018-18668,a45241f4bc46aee1ab2cc0749f6444b043681edf,https://github.com/gnuboard/gnuboard5,PHP,CWE-79,xss,memory_safety;resource_dos;sql_injection;ssrf_redirect;xss,0.21951219512195122,True,True,True
111,CVE-2018-18669,a45241f4bc46aee1ab2cc0749f6444b043681edf,https://github.com/gnuboard/gnuboard5,PHP,CWE-79,xss,memory_safety;resource_dos;sql_injection;ssrf_redirect;xss,0.21428571428571427,True,True,True
112,CVE-2018-18670,a45241f4bc46aee1ab2cc0749f6444b043681edf,https://github.com/gnuboard/gnuboard5,PHP,CWE-79,xss,memory_safety;resource_dos;sql_injection;ssrf_redirect;xss,0.1951219512195122,True,True,True
113,CVE-2018-18671,a45241f4bc46aee1ab2cc0749f6444b043681edf,https://github.com/gnuboard/gnuboard5,PHP,CWE-79,xss,memory_safety;resource_dos;sql_injection;ssrf_redirect;xss,0.20930232558139536,True,True,True
114,CVE-2018-18672,a45241f4bc46aee1ab2cc0749f6444b043681edf,https://github.com/gnuboard/gnuboard5,PHP,CWE-79,xss,memory_safety;resource_dos;sql_injection;ssrf_redirect;xss,0.21428571428571427,True,True,True
115,CVE-2018-18673,a45241f4bc46aee1ab2cc0749f6444b043681edf,https://github.com/gnuboard/gnuboard5,PHP,CWE-79,xss,memory_safety;resource_dos;sql_injection;ssrf_redirect;xss,0.21951219512195122,True,True,True
116,CVE-2018-18674,a45241f4bc46aee1ab2cc0749f6444b043681edf,https://github.com/gnuboard/gnuboard5,PHP,CWE-79,xss,memory_safety;resource_dos;sql_injection;ssrf_redirect;xss,0.19047619047619047,True,True,True
117,CVE-2018-18675,a45241f4bc46aee1ab2cc0749f6444b043681edf,https://github.com/gnuboard/gnuboard5,PHP,CWE-79,xss,memory_safety;resource_dos;sql_injection;ssrf_redirect;xss,0.20930232558139536,True,True,True
118,CVE-2018-18676,a45241f4bc46aee1ab2cc0749f6444b043681edf,https://github.com/gnuboard/gnuboard5,PHP,CWE-79,xss,memory_safety;resource_dos;sql_injection;ssrf_redirect;xss,0.18604651162790697,True,True,True
119,CVE-2018-18678,a45241f4bc46aee1ab2cc0749f6444b043681edf,https://github.com/gnuboard/gnuboard5,PHP,CWE-79,xss,memory_safety;resource_dos;sql_injection;ssrf_redirect;xss,0.18604651162790697,True,True,True
120,CVE-2021-3831,2e81619ea87bc9c0b4a073d8df3c7693a6fdbf0d,https://github.com/gnuboard/gnuboard5,PHP,CWE-79,xss,xss,0.041666666666666664,True,True,False
121,CVE-2022-3963,ba062ca5b62809106d5a2f7df942ffcb44ecb5a9,https://github.com/gnuboard/gnuboard5,PHP,CWE-79,xss,crypto_secret;sql_injection;xss,0.09090909090909091,True,True,False
